<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GDAX.BCH-USD,D,15/04/20,00:00:00,215.1600000
GDAX.BCH-USD,D,16/04/20,00:00:00,235.1900000
GDAX.BCH-USD,D,17/04/20,00:00:00,232.2300000
GDAX.BCH-USD,D,18/04/20,00:00:00,244.1100000
GDAX.BCH-USD,D,19/04/20,00:00:00,231.7400000
GDAX.BCH-USD,D,20/04/20,00:00:00,219.3600000
GDAX.BCH-USD,D,21/04/20,00:00:00,219.7700000
GDAX.BCH-USD,D,22/04/20,00:00:00,233.2500000
GDAX.BCH-USD,D,23/04/20,00:00:00,237.7000000
GDAX.BCH-USD,D,24/04/20,00:00:00,238.0200000
GDAX.BCH-USD,D,25/04/20,00:00:00,238.2600000
GDAX.BCH-USD,D,26/04/20,00:00:00,246.7200000
GDAX.BCH-USD,D,27/04/20,00:00:00,243.0000000
GDAX.BCH-USD,D,28/04/20,00:00:00,241.6500000
GDAX.BCH-USD,D,29/04/20,00:00:00,257.8300000
GDAX.BCH-USD,D,30/04/20,00:00:00,250.1000000
GDAX.BCH-USD,D,01/05/20,00:00:00,255.0100000
GDAX.BCH-USD,D,02/05/20,00:00:00,261.2600000
GDAX.BCH-USD,D,03/05/20,00:00:00,251.9700000
GDAX.BCH-USD,D,04/05/20,00:00:00,246.1600000
GDAX.BCH-USD,D,05/05/20,00:00:00,247.2700000
GDAX.BCH-USD,D,06/05/20,00:00:00,241.9600000
GDAX.BCH-USD,D,07/05/20,00:00:00,252.5400000
GDAX.BCH-USD,D,08/05/20,00:00:00,260.6000000
GDAX.BCH-USD,D,09/05/20,00:00:00,265.3100000
GDAX.BCH-USD,D,10/05/20,00:00:00,233.1500000
GDAX.BCH-USD,D,11/05/20,00:00:00,235.6000000
GDAX.BCH-USD,D,12/05/20,00:00:00,233.4200000
GDAX.BCH-USD,D,13/05/20,00:00:00,239.7800000
GDAX.BCH-USD,D,14/05/20,00:00:00,242.5800000
GDAX.BCH-USD,D,15/05/20,00:00:00,235.0300000
GDAX.BCH-USD,D,16/05/20,00:00:00,236.5700000
GDAX.BCH-USD,D,17/05/20,00:00:00,240.4400000
GDAX.BCH-USD,D,18/05/20,00:00:00,248.1400000
GDAX.BCH-USD,D,19/05/20,00:00:00,246.9400000
GDAX.BCH-USD,D,20/05/20,00:00:00,239.6100000
GDAX.BCH-USD,D,21/05/20,00:00:00,227.9600000
GDAX.BCH-USD,D,22/05/20,00:00:00,234.7300000
GDAX.BCH-USD,D,23/05/20,00:00:00,234.1700000
GDAX.BCH-USD,D,24/05/20,00:00:00,222.6000000
GDAX.BCH-USD,D,25/05/20,00:00:00,230.3800000
GDAX.BCH-USD,D,26/05/20,00:00:00,228.0900000
GDAX.BCH-USD,D,27/05/20,00:00:00,232.8200000
GDAX.BCH-USD,D,28/05/20,00:00:00,239.9050000
GDAX.BCH-USD,D,29/05/20,00:00:00,238.3400000
GDAX.BCH-USD,D,30/05/20,00:00:00,252.3400000
GDAX.BCH-USD,D,31/05/20,00:00:00,238.5400000
GDAX.BCH-USD,D,01/06/20,00:00:00,253.1400000
GDAX.BCH-USD,D,02/06/20,00:00:00,250.9700000
GDAX.BCH-USD,D,03/06/20,00:00:00,253.0600000
GDAX.BCH-USD,D,04/06/20,00:00:00,256.2400000
GDAX.BCH-USD,D,05/06/20,00:00:00,255.9800000
